        ,WALNUT    ,EXPENSE                                             ,REPORT    ,                     ,       ,             ,                            ,
23-07-16,12:05 PM  ,MOMS RECHRGE                                        ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
23-07-16,03:43 PM  ,WATER                                               ,90        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
26-07-16,06:08 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,300       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
29-07-16,05:04 PM  ,NET BANKING                                         ,"2,310"   ,CitiBank  3226       ,Yes    ,TRANSFER     ,                            ,IMPS Ref no 621117681969 sav
29-07-16,07:05 PM  ,AMAZON                                              ,509       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,Headphones
31-07-16,09:54 AM  ,FLIPKART                                            ,"3,361"   ,SBI debit 1155       ,Yes    ,SHOPPING     ,#Online                     ,FLIPKART10988
31-07-16,03:41 PM  ,ATM                                                 ,"3,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
31-07-16,03:43 PM  ,ATM                                                 ,"6,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
31-07-16,04:19 PM  ,SPAR                                                ,398       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,                            ,
31-07-16,05:49 PM  ,FLIPKART                                            ,"1,506"   ,SBI debit 1155       ,Yes    ,SHOPPING     ,#Online                     ,SBIDCFLIPKART
31-07-16,10:31 PM  ,PANI                                                ,90        ,CASH Spends          ,Yes    ,FOOD & DRINKS,                            ,
31-07-16,10:37 PM  ,CLEARANCE                                           ,695       ,CASH Spends          ,Yes    ,INVESTMENT   ,                            ,
01-08-16,07:47 PM  ,OMLETTE                                             ,120       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
02-08-16,12:00 PM  ,RENT                                                ,"6,500"   ,CASH Spends          ,Yes    ,BILLS        ,                            ,
02-08-16,10:26 PM  ,DINNER                                              ,110       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
06-08-16,12:00 PM  ,FOOD ON SATURDAY                                    ,140       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
07-08-16,10:34 AM  ,ONE97 COMCTN-PAYTM                                  ,500       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
07-08-16,03:52 PM  ,AMAZON                                              ,295       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,
07-08-16,03:52 PM  ,AMAZON                                              ,295       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,
07-08-16,04:06 PM  ,LUNCH                                               ,170       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
08-08-16,07:42 PM  ,BANANA SHAKE                                        ,50        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
09-08-16,07:04 AM  ,AMAZON                                              ,"1,196"   ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,Bag American tourister
10-08-16,09:17 PM  ,SD CARD                                             ,290       ,CASH Spends          ,No     ,SHOPPING     ,                            ,
12-08-16,12:00 PM  ,SURF EXCEL                                          ,95        ,CASH Spends          ,Yes    ,GROCERIES    ,                            ,
12-08-16,03:02 PM  ,LUNCH                                               ,80        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
12-08-16,09:51 PM  ,ONE97 COMCTN-PAYTM                                  ,400       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
13-08-16,08:52 AM  ,ATM                                                 ,"1,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
14-08-16,05:34 PM  ,OLA CABS                                            ,150       ,CitiBank debit 6302  ,Yes    ,TRAVEL       ,#Online                     ,
19-08-16,07:16 PM  ,NET BANKING                                         ,200       ,SBI  XXXX            ,Yes    ,TRAVEL       ,                            ,Ref No IG0COBMQT5
21-08-16,12:00 PM  ,AMRITA'S DELHI TO TILAK NAGAR CAB FARE              ,70        ,CASH Spends          ,Yes    ,TRAVEL       ,                            ,
21-08-16,04:56 PM  ,GROCERIES                                           ,525       ,CASH Spends          ,No     ,GROCERIES    ,                            ,
22-08-16,07:11 PM  ,RETURN                                              ,"2,000"   ,CASH Spends          ,Yes    ,TRANSFER     ,                            ,
23-08-16,08:19 PM  ,JOCKEY BOXER AND BRIEFS                             ,610       ,CASH Spends          ,No     ,SHOPPING     ,                            ,
26-08-16,10:04 AM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
28-08-16,07:06 AM  ,ATM                                                 ,"2,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
29-08-16,08:46 PM  ,DINNER                                              ,125       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
31-08-16,05:02 AM  ,DETERGENT                                           ,92        ,CASH Spends          ,No     ,GROCERIES    ,                            ,
31-08-16,09:16 PM  ,PUMA                                                ,582       ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,                            ,
31-08-16,10:42 PM  ,CLEARANCE                                           ,"2,354"   ,CASH Spends          ,Yes    ,INVESTMENT   ,                            ,
01-09-16,06:57 AM  ,NET BANKING                                         ,"6,000"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 624506850566
01-09-16,08:26 PM  ,ATM                                                 ,"3,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-09-16,08:27 PM  ,ATM                                                 ,"3,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-09-16,08:44 PM  ,BURGER KING                                         ,"1,007.34",CitiBank debit 6302  ,Yes    ,FOOD & DRINKS,                            ,
02-09-16,07:07 PM  ,ATM                                                 ,"6,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,Rent
08-09-16,08:27 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,"1,000"   ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,Electricity bill
08-09-16,08:42 PM  ,PAYTM NO                                            ,430       ,CitiBank debit 6302  ,Yes    ,GROCERIES    ,#Online                     ,Postpaid bill
11-09-16,12:12 PM  ,ATM                                                 ,"3,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
17-09-16,07:06 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
17-09-16,07:59 PM  ,PAYTM.COM                                           ,400       ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
18-09-16,09:03 PM  ,OVER THE TOP                                        ,"2,152"   ,CitiBank credit 3486 ,No     ,FOOD & DRINKS,                            ,
22-09-16,12:00 PM  ,CHAI BREAD                                          ,40        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
25-09-16,10:06 AM  ,APPLE ITUNES                                        ,60        ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,
25-09-16,12:28 PM  ,FLIPKART                                            ,196       ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,"#Online, #Family"          ,
25-09-16,01:33 PM  ,AMAZON                                              ,620       ,CitiBank credit 3486 ,No     ,SHOPPING     ,"#Online, #Friends"         ,
27-09-16,07:05 AM  ,PAYTM MOBILE SOLUTIO                                ,"2,000"   ,CitiBank credit 3486 ,Yes    ,BILLS        ,#Online                     ,
27-09-16,05:02 PM  ,SAY CHEESE                                          ,260       ,CitiBank credit 3486 ,Yes    ,FOOD & DRINKS,                            ,
28-09-16,10:52 PM  ,ELECTRICITY BILL                                    ,610       ,CASH Spends          ,No     ,BILLS        ,                            ,
29-09-16,07:12 PM  ,KARISHMA'S FAREWELL                                 ,420       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
29-09-16,07:31 PM  ,NET BANKING                                         ,"2,800"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 627319546097
01-10-16,09:31 AM  ,ATM                                                 ,"7,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-10-16,09:50 AM  ,CHOLE BHATURE                                       ,100       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
01-10-16,02:26 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
02-10-16,07:46 AM  ,FLIPKART                                            ,"3,379"   ,SBI debit 1155       ,Yes    ,SHOPPING     ,#Online                     ,SBIDCFLIPKART
03-10-16,06:09 AM  ,NET BANKING                                         ,"6,000"   ,CitiBank  3226       ,No     ,SHOPPING     ,                            ,IMPS Ref no 627706334135
03-10-16,06:22 AM  ,FLIPKART                                            ,"4,545"   ,SBI debit 1155       ,Yes    ,SHOPPING     ,#Online                     ,FLIPKART
03-10-16,12:00 PM  ,RENT                                                ,"6,000"   ,CASH Spends          ,No     ,BILLS        ,                            ,
03-10-16,12:00 PM  ,RENT                                                ,"6,000"   ,CASH Spends          ,No     ,BILLS        ,                            ,
05-10-16,06:44 AM  ,SNAPDEAL                                            ,"1,181"   ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,#Online                     ,
05-10-16,12:00 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
06-10-16,10:59 PM  ,ONE97 COMMU-PAYTM                                   ,"2,648"   ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
08-10-16,11:35 AM  ,ATM                                                 ,500       ,CitiBank debit 3226  ,Yes    ,             ,                            ,
09-10-16,12:42 PM  ,SPAR HYPERMARKET                                    ,"1,009"   ,CitiBank debit 6302  ,Yes    ,SHOPPING     ,                            ,
09-10-16,12:59 PM  ,ATM                                                 ,"2,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
10-10-16,11:50 AM  ,OLA                                                 ,119       ,OlaCab Messages      ,No     ,TRAVEL       ,                            ,
11-10-16,07:54 AM  ,BHARTI AIRTEL                                       ,500       ,CitiBank debit 6302  ,Yes    ,BILLS        ,                            ,
11-10-16,07:55 AM  ,8800897217                                          ,460       ,Airtel Money  Unknown,No     ,BILLS        ,                            ,
11-10-16,12:00 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
14-10-16,08:36 PM  ,DOSA AND MEDICINE                                   ,120       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
15-10-16,12:00 PM  ,DINNER                                              ,80        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
16-10-16,09:35 PM  ,ROLL ND MILK                                        ,95        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
17-10-16,12:24 AM  ,AMAZON                                              ,"9,999"   ,CitiBank credit 3486 ,No     ,SHOPPING     ,#Online                     ,
18-10-16,05:29 PM  ,ATM                                                 ,"2,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
18-10-16,08:02 PM  ,MAKEMYTRIP                                          ,"6,384"   ,CitiBank credit 3486 ,No     ,TRAVEL       ,#Online                     ,
20-10-16,07:50 PM  ,FABINDIA OVERSEAS PVT. LTD.                         ,"1,580"   ,CitiBank credit 3486 ,No     ,SHOPPING     ,                            ,
23-10-16,07:48 AM  ,NET BANKING                                         ,"2,000"   ,CitiBank  3226       ,No     ,TRANSFER     ,#Friends                    ,IMPS Ref no 629707539809
24-10-16,04:46 PM  ,MATRESS AND PILLOW                                  ,900       ,CitiBank credit 3486 ,Yes    ,SHOPPING     ,#Online                     ,
27-10-16,12:00 PM  ,ANKUR'S IPHONE CELEBRATIONS (YES IT WASNT A TREAT :0,500       ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
28-10-16,05:54 AM  ,ELECTRICITY BILL                                    ,930       ,CASH Spends          ,No     ,BILLS        ,                            ,
28-10-16,08:47 AM  ,PAYTM MOBILE SOLUTIONS NO                           ,189.48    ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
28-10-16,12:00 PM  ,WATER                                               ,90        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
28-10-16,12:27 PM  ,SHIVAAY                                             ,300       ,CASH Spends          ,No     ,ENTERTAINMENT,                            ,
29-10-16,11:17 PM  ,PAYTM                                               ,775       ,PAYTM  Unknown       ,No     ,UNKNOWN      ,                            ,Paytm order# 2172760392
29-10-16,11:17 PM  ,PAYTM SB                                            ,775       ,CitiBank debit 6302  ,No     ,BILLS        ,#Online                     ,
30-10-16,03:12 PM  ,8800326513                                          ,235       ,PAYTM  Unknown       ,No     ,UNKNOWN      ,                            ,
30-10-16,03:15 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
30-10-16,03:40 PM  ,UBER                                                ,203.62    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
31-10-16,01:40 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,50        ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
31-10-16,02:01 PM  ,UBER                                                ,60        ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
31-10-16,02:51 PM  ,NET BANKING                                         ,"5,600"   ,CitiBank  3226       ,No     ,TRANSFER     ,                            ,IMPS Ref no 630514209286
01-11-16,10:39 AM  ,ATM                                                 ,"8,000"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
01-11-16,08:58 PM  ,ATM                                                 ,"2,500"   ,CitiBank debit 3226  ,Yes    ,             ,                            ,
04-11-16,07:27 PM  ,WATER                                               ,80        ,CASH Spends          ,No     ,FOOD & DRINKS,                            ,
11-11-16,07:58 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
11-11-16,09:16 PM  ,PAYTM MOBILE SOLUTIONS NO                           ,200       ,CitiBank debit 6302  ,Yes    ,BILLS        ,#Online                     ,
11-11-16,09:50 PM  ,UBER                                                ,115.86    ,PAYTM  Unknown       ,No     ,TRAVEL       ,#Online                     ,
